CCC_CODE,GOVT_STAT,OSD_REMARK,CONN_STAT,TYPE,COUNT,OSD
3157101,NO,OSD   ,DD    ,C   ,1,2631.96
3157101,NO,OSD   ,DD    ,C   ,1,2636
3157101,NO,OSD   ,DD    ,C   ,1,2640.05
3157101,NO,OSD   ,DD    ,C   ,2,5290
3157101,NO,OSD   ,DD    ,C   ,1,2667.94
3157101,NO,OSD   ,DD    ,C   ,1,2677.09
3157101,NO,OSD   ,DD    ,C   ,1,2711
3157101,NO,OSD   ,DD    ,C   ,1,2719.74
3157101,NO,OSD   ,DD    ,C   ,1,2723.64
3157101,NO,OSD   ,DD    ,C   ,1,2733.26
3157101,NO,OSD   ,DD    ,C   ,1,2753.19
3157101,NO,OSD   ,DD    ,C   ,1,2759.9
3157101,NO,OSD   ,DD    ,C   ,1,2765
3157101,NO,OSD   ,DD    ,C   ,1,2771.57
3157101,NO,OSD   ,DD    ,C   ,1,2772.72
3157101,NO,OSD   ,DD    ,C   ,1,2777.9
3157101,NO,OSD   ,DD    ,C   ,1,2779.74
3157101,NO,OSD   ,DD    ,C   ,1,2784
3157101,NO,OSD   ,DD    ,C   ,1,2799.32
3157101,NO,OSD   ,DD    ,C   ,1,2811.37
3157101,NO,OSD   ,DD    ,C   ,1,2824.24
3157101,NO,OSD   ,DD    ,C   ,1,2841.23
3157101,NO,OSD   ,DD    ,C   ,1,2845.13
3157101,NO,OSD   ,DD    ,C   ,1,2858.09
3157101,NO,OSD   ,DD    ,C   ,1,2859.82
3157101,NO,OSD   ,DD    ,C   ,1,2865.85
3157101,NO,OSD   ,DD    ,C   ,1,2874.08
3157101,NO,OSD   ,DD    ,C   ,1,2877.33
3157101,NO,OSD   ,DD    ,C   ,1,2882.62
3157101,NO,OSD   ,DD    ,C   ,1,2885.55
3157101,NO,OSD   ,DD    ,C   ,1,2888.15
3157101,NO,OSD   ,DD    ,C   ,1,2941.07
3157101,NO,OSD   ,DD    ,C   ,1,2951.11
3157101,NO,OSD   ,DD    ,C   ,1,2957.13
3157101,NO,OSD   ,DD    ,C   ,1,2958.42
3157101,NO,OSD   ,DD    ,C   ,1,2958.64
3157101,NO,OSD   ,DD    ,C   ,1,2958.96
3157101,NO,OSD   ,DD    ,C   ,1,2964
3157101,NO,OSD   ,DD    ,C   ,1,2964.13
3157101,NO,OSD   ,DD    ,C   ,1,2970.05
3157101,NO,OSD   ,DD    ,C   ,1,2970.77
3157101,NO,OSD   ,DD    ,C   ,1,2971.72
3157101,NO,OSD   ,DD    ,C   ,1,2993
3157101,NO,OSD   ,DD    ,C   ,1,2999.96
3157101,NO,OSD   ,DD    ,C   ,1,3000
3157101,NO,OSD   ,DD    ,C   ,1,3027.23
